DLyfKi8RL0;SxpGvPHAvF;D2u9gbbCZV;fy4fQ413fz;N5ywRWWdJQ;ANf1nD2u4e
    GKSCx;mAB;41;-70;97;-6.27
YAtFd7F;x Of qUa 9Ch3MrGQ;68;-58;-33;-1.71
ji  UI;XPQC37043k  ;-42;-10;70;1.87
kLr 8 goDA9DP;4qzd1XjW4 ;12;34;32;-5.14
wB 5; OvIep Q Dna89S;-91;59;-61;-5.08
ceUHiGqf6K  Tf;jCDYthsf ;-80;71;81;-3.92
 b 3 ;6AL;59;-99;-49;5.34
LkvqbrOucK FW; OVHNy msK H8 GHocp;20;-90;-99;3.55
jvAg LLTGro4E4 Fj rp; 0InH Di zCKC mv;-79;32;76;-7.2
9xHkvhq0dM;M1oXBaR hP OB 1b3 A ;-17;81;-26;0.12
uC  5;WU8 UZ5uWz wk  ;35;-43;85;-6.74
Sv e ;DZ TDws1a2  0eaf;80;-11;-41;-0.63
  Kq We  V jBO;uGIb;44;-47;-53;3.3
lVLB Bwm Ze8  ;vuFVZTM XWnJU ;52;95;-60;-2.48
0HRvs8wpx9C k085;hbgq   ;7;-19;-19;-9.6
n6hBAle6 N po  E;S5f  k NsW  S MFE0f;17;40;5;8.36
s SqC;T Ih  w;-11;-60;-95;-5.22
C ;vk j  wm ZYhVZSYA1Og;-57;-64;79;-9.32
z MzL1NgH8N02Nc ys q;f4WLAk  T Ej6oIE;-4;100;60;5.22
yy Dme;SNoA4LVj Cc7kzp8rO;-78;31;-62;8.15
4TJUM TY 6W ;WQtJsiiaBalnM rlj;72;30;-23;9.61
4  l Drs 5NA4j EMq; F1Ly U2w01WxVA;5;4;76;-9.15
7sgmP  G Drh; TsZ5N qL ;-83;-35;-78;7.7
v4b 0l;gGWR;86;-50;-20;-5.1
 Wa ;P IT;-81;29;33;-2.49
89e 6ZpK9AZ  q H C; 655U N P wQvJu9KPR ;35;88;27;-7.33
FSywG oH; Y c   9Jdtwhpr3u;-8;12;86;-7.19
II;E;39;-30;-86;-9.13
 9 jX 1jnq s;73CQJ9Q ;36;99;-56;-7.51
 ;z7T;29;-78;-58;2.08
c DsxFdrePT;HW;76;86;31;-7.06
 ;2u ZH9W7 t2Ivk;-67;68;-14;9.81
IdmQiJ CbMyuFU4L;vyU3wJ0 0hQ3fry;93;-59;-90;-4.74
hXBwVqzv3ED fI BZg;evM S8 lL3 ZA;16;-68;100;5.02
qZt;Eelbu0mzV4 HaNzbkSs6;-30;7;-87;7.59
A;q sazK   SwU9l;-74;-95;61;-1.88
E  kNQkCdSG;XvS;10;86;-16;0.27
sLy   e9 dw mlwRj1; YovSUX3o Gk9Pn    7;98;-46;-78;-1.24
uQs15G9  x D2;Rkjmk ;99;-58;82;-4.64
Y s5bvcrltE by;  5;11;95;-68;-2.81
 xcM; VXhlaQz8Ur Hm;90;2;-94;9.3
lbVqm1 vfd;i69;75;-84;-65;9.15
C 6cfEprhn 0J   Az;v6  G;-66;-18;-74;-4.04
SedQ mN ;d FBmwwjhk axS22 ;-64;-7;-57;5.49
5o 6k; F Zh x VTdS5f8f;81;53;-9;6.71
 x Pvo F; z T JBucYk 1xkCqVa ;66;41;88;-8.6
Z w w ;Cd jfnxutK0n2nn;91;-10;-33;4.94
ZR wR tZj 2bZXMlVV;0ZjpC7gVqHMPcG7v;-29;-48;78;2.97
f3;y5qC;77;68;-90;8.81
nn Vcpw6 8L Ex;WXhux;-5;87;-96;-6.4
R ;U2 BD;68;-53;66;-9.09
Sh5JO5gV cT7ZuFdN ;6;5;35;-93;-4.63
7uo RoG  ;lBU0;60;-4;-4;8.78
4 I;4XR0b;30;-77;-80;4.34
mw7 JEfbtkJdB N ;utn5 bf0 V 1;-39;-97;23;-5.92
A Edw ;  2VnanYrVvr Wr;83;-73;70;-6.28
FYf 5t; F0cngmUr c 8rE lqb;1;97;15;-6.4
8 u ;9lagdRb3fYcBM vQ Lb6;-27;-59;47;-0.01
J;j8KK  Q  cUh96;66;-4;-15;2.05
UsW4Z H9E;bxlLcT ;-86;29;49;-1.95
 JYH S 0XUds zj Q ;S4CNpy;-30;-90;-31;-5.74
QK;  7km VlW q ;81;33;-50;0.05
UeFDe;UmC9X BMeG gRV 1X;100;-33;-49;0.76
g mzZ3t1zMpS 8dU;EuMhK D  ;-31;-19;97;-0.46
wnK7pBRq  Sxy B  ;E t jx  X41sN JD;-90;15;-42;6.58
AEZfja i OLjdoYfE;TvWmgyE;-30;-97;26;-1.63
xiE7oh 9;ANOx7;-41;-78;83;2.57
03 48 Wpi93u BY0i;eL 0m6ge;-37;-36;-33;-3.41
IM3SU g   a i 2h;xiRB   R ;-8;-30;-46;1.38
 PokDAaTY ZTpE  tq;q;97;87;-59;-9.66
2py 1 W;zJw;36;65;-43;8.99
 0lo;rgP AIdsC3h7HZ9;38;57;-51;8.07
P0o9T8 837t340 hSN;G  9 y ;54;-47;32;-1.77
MxsQ  r  xH;f  NS;21;-79;97;9.8
2n  LUe7;ww 7;82;61;45;1.92
 w gJZ8;9FC6wxoCe1sff h eC7;-79;-58;-93;-1.91
qtAQ6VBMJtUe;hYfN l U6YP 1cW Rg;64;71;-40;-8.78
Kr;FA30p0B  vk;-52;-60;-71;6.27
 LRyc O;a;-74;-39;56;2.54
JE 3o7POTv;JoxCP PH  T;65;35;-40;-1.65
3R3 qGgBcXZFMYd ;r L QxK0LH  ;-76;-1;-89;-8.02
JDRue Vi01 N6lu; Nym3X;17;11;45;5.46
CESpg    DjOaAx ; Ehr;-54;19;35;-0.77
 D8glnO0i3;N;33;-61;-60;-6.93
wGjMJi mUk Dk ;EHO ;-44;23;16;8.09
5;ehGlMO biV nhfB  b0;-2;-76;-44;6.11
 yn7 ID ; 1uQka7Kd;-27;17;91;-8.52
5vtNnLtL oEHZ c AcZ;KwgcLZ D74kPyUQ hZFv;-53;-15;19;-0.19
8Yrr5ydT9L q;P;6;-14;3;-0.48
qv KkIihyV;UeSps pW EiX  r9e;100;68;90;-1.09
GvRaRPPSh L  no s W;b3r7;62;-77;-71;1.47
wqLqNO ;aGS Sy6tF;-39;97;87;-8.32
c  ELMR2 6QSfz m Km8;6  Eb8W YAu3jnV0g r;-40;56;-39;-3.83
p Quhi4rbG; ZayG rRM aGJtxle;-41;96;32;-0.68
 VmUue s;WPOnvQ1  R2 7C;-51;59;93;-7.65
DyM   u  7 fT i8z8;BwK lzLUPqd2ja l;-11;68;31;5.87
79S14A Ob7JOW1;bqi kVutd6Hx  5Ww;-78;-25;-45;0.88
  2 ;v5eU  Qm ;12;82;60;-2.92
RhPWN2d ALd 3 ggccRk;   V2taKij;-40;55;35;-2.14
ilT29 Ad;Y VN 5wpd2Upm G RF ;57;-23;-13;-7.05
j7WCkTi0SI3;oqE;-37;63;99;-2.1
 vs0USSmF W  ve5 h9s; CgtkG lsp;-86;-10;-24;-1.62
7f c0gW H l Pj;N r0 k  j zDh3dE1;-96;-65;19;-4.43
Q fnU4Oyy;CM Am;-15;-69;-21;8.18
j r PW2 F;CMLZ4nzhEvQ7VF 5 v;63;94;83;2.83
Zl27n pN 2gyCRgT;ZDKJjw a 8KDNY;95;-69;-47;-9.79
c7P7Mq  RR71K9E;Bx  f;96;-63;-69;3.48
fRzp YaBD6yhB8;EP9 ;-59;-96;-8;-8.51
vCYl2r;nT;-25;92;-9;7.59
 6ual;R;-42;28;-67;9.02
1YIA8i31Xm9;1 fKbu a  X5y;-13;99;-25;6.41
i ;R3j uXYFLRxAMMS;67;88;-68;-2.42
 ZYE z  ;74e;-19;46;89;-6.49
XiHkBh huTbKqVY  9;mp XF6K;42;-71;13;2.33
VDh;R5 Cwnj HcVVhLm;15;-97;22;-1.29
9 Eq;EJgj;-73;-20;36;-5.63
 5vi5 hi kW;tjYFAg ;57;-49;93;-9.89
KksD p4D yDy5gJY Vx ;pKPjYVoRZ0 Q;22;-66;43;-6.2
l3 0sHKf;MNtiG m aN;78;-78;23;-0.99
r 1xG;F9Fhmh1Dqimqz;-55;-73;-16;-2.86
uE0q7 EgWud0qRw5TlDW;LPo1;-36;-18;92;-3.52
rpPMvTf  yf8 lF;geYjVh 4R0Yzz Ryzpz;-30;24;-28;8.61
  ry; 3HCRrjgC slUpiJa9W7;-10;-12;-37;0.95
w6;4aLqxX;-47;52;-53;-6.07
S j 2;IVM;-97;-33;-51;-8.24
HIWLFx;12 nJ4 cm3;-67;40;29;4.01
W ; pd aKN b79DpjIh  m;-32;-13;30;3.04
 0;CEd G545oR D;-11;71;-80;-2.89
  s1rHYs   oJ8;j 0yWbF2q ;-95;83;-9;-1.83
g;zNHnEW0P8dh AVIKJ ;90;-27;69;5.09
cS pm63q;xPmXu;-97;-20;19;-0.64
Q 2ck6YH8vMGv  yS;Q ;79;65;-56;-3.95
1i4OuphXc g m16P7RMz; 03hrRG8pF0L;26;-64;14;-0.82
vNJzpI;O b SKWtt 2R 9  mL;-68;40;-9;-8.71
zJQAIj RQsi Eh;OkgoJn  Qq;59;-89;71;8.49
xA TZdS KCN 8XlRoKaE;L;-29;65;-80;-0.73
W9fSGfXYSXGH;mOY9kh 0wC z;-52;52;96;-0.37
t3x  Nps0gN Ozim;mPFRpNzbQsvfGem3wD;67;-11;-45;-9.55
n  L ;5X P99YZ6Yn qSK;-18;-69;45;8.14
 2 T qRi2wD G    Y8m;iuE jL;-78;16;48;-8.02
 mpW eda Kde  d lpv ;jri   i;47;56;-7;-8.52
ZK  O14vr8Yq P;s g iKTrtJf Z4r9bttJ;51;-52;96;-6.46
u Tnhm;h15;-85;-79;17;3.92
J DyscMjWLE w ;pnq80tUUK ;-66;52;66;-7.47
i;z xYpypp 1iY;78;96;-45;-2.74
